velocidad_bala,distancia,bala_y,h1,h2,h3,h4,h5,h6,h7,h8,accion
-26.0,219.0,618.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-26.0,193.0,618.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-26.0,167.0,618.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-26.0,141.0,618.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0
-26.0,115.0,618.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-26.0,89.0,618.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-26.0,63.0,618.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-26.0,37.0,618.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2
-26.0,11.0,618.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2
-26.0,-15.0,618.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-26.0,-41.0,618.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-26.0,-67.0,618.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
0.0,2160.0,610.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2
-11.0,1014.0,583.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-11.0,1003.0,583.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
-11.0,992.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-11.0,981.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-11.0,970.0,583.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-11.0,959.0,583.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
-11.0,948.0,583.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
-11.0,937.0,583.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-11.0,926.0,583.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-11.0,915.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
-11.0,904.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-11.0,893.0,583.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-11.0,882.0,583.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0
-11.0,871.0,583.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0
-11.0,860.0,583.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-11.0,849.0,583.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-11.0,838.0,583.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
-11.0,827.0,583.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
-11.0,816.0,583.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-11.0,805.0,583.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
-11.0,794.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-11.0,783.0,583.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-11.0,772.0,583.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-11.0,761.0,583.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0
-11.0,750.0,583.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-11.0,739.0,583.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-11.0,728.0,583.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-11.0,717.0,583.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
